Train PIDs,"['BK7610', 'BU4707', 'CC6740', 'DC6359', 'DK3500', 'HV0618', 'JB3156', 'JR8022']"
Test PIDs,"['MC7070', 'MJ8002', 'PC6771', 'SA0297', 'SF3079']"
Accuracy and F1 Score,60.1026177406311,0.26859162557363964
