,importance,stddev,p_value,n,p99_high,p99_low
Feat 572,0.0003200000000000092,0.0001788854381999883,0.008065044950046259,5,0.0006883275897132915,-4.832758971327309e-05
Feat 45,0.00031999999999998696,0.00030331501776207254,0.038870820473957415,5,0.0009445298138311549,-0.00030452981383118094
Feat 573,0.0002800000000000136,0.00017888543820000072,0.012448081730113327,5,0.0006483275897133213,-8.832758971329423e-05
Feat 575,0.00027999999999999136,0.00022803508501984142,0.02580297890559402,5,0.0007495273918356623,-0.00018952739183567956
Feat 15,0.00027999999999999136,0.00030331501776207617,0.05396941114614805,5,0.0009045298138311668,-0.000344529813831184
Feat 583,0.00027999999999999136,0.00026832815729995764,0.03997982327278749,5,0.0008324913845698637,-0.0002724913845698809
Feat 382,0.00024000000000004018,0.00016733200530684312,0.016338961668401486,5,0.000584538911700924,-0.00010453891170084364
Feat 595,0.00024000000000001798,0.0003286335345031074,0.08890390417810178,5,0.0009166609897400664,-0.00043666098974003045
Feat 5,0.00024000000000001798,0.00026076809620809003,0.05435047566244455,5,0.0007769251142905863,-0.0002969251142905503
Feat 594,0.00023999999999999578,0.00021908902300208792,0.03524199845512071,5,0.000691107326493395,-0.0002111073264934034
Feat 219,0.00023999999999999578,0.00021908902300203726,0.03524199845509922,5,0.0006911073264932907,-0.00021110732649329915
Feat 26,0.00023999999999999578,0.00043358966777356405,0.14175553211381917,5,0.0011327671187918377,-0.0006527671187918462
Feat 85,0.00023999999999997358,0.00026076809620807724,0.05435047566246176,5,0.0007769251142905156,-0.00029692511429056835
Feat 593,0.00020000000000000017,0.00024494897427833616,0.07096372388703887,5,0.0007043533235937047,-0.0003043533235937043
Feat 4,0.00020000000000000017,0.00037416573867739744,0.14900740586560685,5,0.0009704124274568521,-0.0005704124274568517
Feat 592,0.00019999999999997797,0.00028284271247458785,0.09450182922758762,5,0.0007823770542868856,-0.0003823770542869297
Feat 548,0.00019999999999997797,0.00014142135623729392,0.0170547115837048,5,0.0004911885271434318,-9.118852714347586e-05
Feat 562,0.00019999999999997797,0.0002449489742782908,0.07096372388702771,5,0.0007043533235935891,-0.00030435332359363316
Feat 563,0.00019999999999997797,0.00028284271247458785,0.09450182922758762,5,0.0007823770542868856,-0.0003823770542869297
Feat 549,0.0001600000000000046,0.0001673320053068033,0.04965034160685156,5,0.0005045389117008066,-0.0001845389117007973
Feat 320,0.0001600000000000046,8.944271909999415e-05,0.008065044950046259,5,0.00034416379485664576,-2.4163794856636543e-05
Feat 597,0.00015999999999998237,0.00016733200530679669,0.04965034160686339,5,0.0005045389117007706,-0.00018453891170080587
Feat 559,0.00015999999999998237,0.00016733200530679669,0.04965034160686339,5,0.0005045389117007706,-0.00018453891170080587
Feat 564,0.00015999999999998237,0.00016733200530679669,0.04965034160686339,5,0.0005045389117007706,-0.00018453891170080587
Feat 88,0.00015999999999998237,0.00016733200530679669,0.04965034160686339,5,0.0005045389117007706,-0.00018453891170080587
Feat 66,0.00015999999999998237,0.00026076809620807724,0.12099076528401038,5,0.0006969251142905242,-0.00037692511429055956
Feat 600,0.00015999999999998237,0.00016733200530679669,0.04965034160686339,5,0.0005045389117007706,-0.00018453891170080587
Feat 18,0.00015999999999998237,0.00026076809620807724,0.12099076528401038,5,0.0006969251142905242,-0.00037692511429055956
Feat 89,0.00012000000000000899,0.0001788854381999759,0.10399999999997858,5,0.0004883275897132657,-0.00024832758971324775
Feat 3,0.00011999999999998679,0.0001788854381999635,0.10399999999999991,5,0.000488327589713218,-0.0002483275897132444
Feat 50,0.00011999999999998679,0.0001788854381999635,0.10399999999999991,5,0.000488327589713218,-0.0002483275897132444
Feat 310,0.00011999999999998679,0.00017888543819996348,0.10399999999999986,5,0.0004883275897132179,-0.0002483275897132444
Feat 7,0.00011999999999998679,0.0001788854381999635,0.10399999999999991,5,0.000488327589713218,-0.0002483275897132444
Feat 82,0.00011999999999998679,0.00010954451150102115,0.03524199845510997,5,0.00034555366324663943,-0.00010555366324666585
Feat 16,0.00011999999999998679,0.0001788854381999635,0.10399999999999991,5,0.000488327589713218,-0.0002483275897132444
Feat 591,0.00011999999999998679,0.00010954451150102115,0.03524199845510997,5,0.00034555366324663943,-0.00010555366324666585
Feat 590,0.00011999999999998679,0.0001788854381999635,0.10399999999999991,5,0.000488327589713218,-0.0002483275897132444
